proj_id,ETrt_YR,ETrt_area,ETrt_p_california_spotted_owl,ETrt_p_storage,ETrt_p_functional_fire,ETrt_p_forest_structure,ETrt_p_max_sdi,ETrt_cost,ETrt_weightedPriority,pct_excluded,treatment_rank,Pr_1_weighted_priorities,scenario_write_tags
1,1,19.98,63.7799998149276,145.92308866675,335.340271383524,262.505773264915,286.618183461018,99900000000,19.3945209415225,0,1,1,20230322-11-42
2,1,19.98,73.2000000141561,149.150959110819,350.984179735184,267.928686015308,255.808631603722,99900000000,18.7127715340603,0,2,1,20230322-11-42
3,1,19.98,75.8799998350442,152.135806339327,320.118613898754,253.745484096929,253.87784967036,99900000000,18.1967508375323,0,3,1,20230322-11-42
