stand_id,geo,proj_id,DoTreat,selected,ETrt_YR,area,p_california_spotted_owl,p_storage,p_functional_fire,p_forest_structure,p_max_sdi,cost,weightedPriority,Pr_1_weighted_priorities,scenario_write_tags
2749,"POLYGON ((-2137463.8119731266 2256903.832999289, -2137463.8119731266 2256603.832999289, -2137163.8119731266 2256603.832999289, -2137163.8119731266 2256903.832999289, -2137463.8119731266 2256903.832999289))",2,1,1,1,0.09,0.3600000143,0.2902088165,1.610573828,1.04777009,0.6058454216,450000000,0.05954321602,1,20230322-11-42
2750,"POLYGON ((-2137463.8119731266 2256603.832999289, -2137463.8119731266 2256303.832999289, -2137163.8119731266 2256303.832999289, -2137163.8119731266 2256603.832999289, -2137463.8119731266 2256603.832999289))",2,1,1,1,0.09,0.6800000072,0.5801483095,1.548901856,1.240392089,1.128966406,450000000,0.08669043867,1,20230322-11-42
2751,"POLYGON ((-2137463.8119731266 2256303.832999289, -2137463.8119731266 2256003.832999289, -2137163.8119731266 2256003.832999289, -2137163.8119731266 2256303.832999289, -2137463.8119731266 2256303.832999289))",2,1,1,1,0.09,0.06000000238,0.60466519,1.651249826,1.072947063,0.6317147315,450000000,0.06124920824,1,20230322-11-42
2752,"POLYGON ((-2137463.8119731266 2256003.832999289, -2137463.8119731266 2255703.832999289, -2137163.8119731266 2255703.832999289, -2137163.8119731266 2256003.832999289, -2137463.8119731266 2256003.832999289))",2,1,1,1,0.09,0,0.5341908634,1.774241924,1.128041476,1.216848612,450000000,0.08206190951,1,20230322-11-42
2753,"POLYGON ((-2137463.8119731266 2255703.832999289, -2137463.8119731266 2255403.832999289, -2137163.8119731266 2255403.832999289, -2137163.8119731266 2255703.832999289, -2137463.8119731266 2255703.832999289))",2,1,1,1,0.09,0.2400000095,0.6071793437,1.692622244,1.220574915,1.559318066,450000000,0.09797515597,1,20230322-11-42
2754,"POLYGON ((-2137463.8119731266 2255403.832999289, -2137463.8119731266 2255103.832999289, -2137163.8119731266 2255103.832999289, -2137163.8119731266 2255403.832999289, -2137463.8119731266 2255403.832999289))",2,1,1,1,0.09,0.9200000018,0.6700487733,1.407422304,1.05158218,0.6444862187,450000000,0.06979009104,1,20230322-11-42
2755,"POLYGON ((-2137463.8119731266 2255103.832999289, -2137463.8119731266 2254803.832999289, -2137163.8119731266 2254803.832999289, -2137163.8119731266 2255103.832999289, -2137463.8119731266 2255103.832999289))",2,1,1,1,0.09,0.6999999881,0.5304625928,1.612422466,1.202243716,1.128635049,450000000,0.08652636126,1,20230322-11-42
2756,"POLYGON ((-2137463.8119731266 2254803.832999289, -2137463.8119731266 2254503.832999289, -2137163.8119731266 2254503.832999289, -2137163.8119731266 2254803.832999289, -2137463.8119731266 2254803.832999289))",2,1,1,1,0.09,0.7400000095,0.399988234,1.542173803,1.079881474,0.3786581755,450000000,0.05713169895,1,20230322-11-42
2757,"POLYGON ((-2137463.8119731266 2254503.832999289, -2137463.8119731266 2254203.832999289, -2137163.8119731266 2254203.832999289, -2137163.8119731266 2254503.832999289, -2137463.8119731266 2254503.832999289))",2,1,1,1,0.09,0.01999998093,0.5802029669,1.604037523,1.220765188,0.8621061444,450000000,0.06991269227,1,20230322-11-42
2758,"POLYGON ((-2137463.8119731266 2254203.832999289, -2137463.8119731266 2253903.832999289, -2137163.8119731266 2253903.832999289, -2137163.8119731266 2254203.832999289, -2137463.8119731266 2254203.832999289))",2,1,1,1,0.09,0.2799999714,0.4801834226,1.683453262,1.392476201,1.672222495,450000000,0.1030569718,1,20230322-11-42
2759,"POLYGON ((-2137463.8119731266 2253903.832999289, -2137463.8119731266 2253603.832999289, -2137163.8119731266 2253603.832999289, -2137163.8119731266 2253903.832999289, -2137463.8119731266 2253903.832999289))",2,1,1,1,0.09,1.239999995,0.4986335635,1.545191586,1.064174265,0.1986832619,450000000,0.05779652769,1,20230322-11-42
2760,"POLYGON ((-2137463.8119731266 2253603.832999289, -2137463.8119731266 2253303.832999289, -2137163.8119731266 2253303.832999289, -2137163.8119731266 2253603.832999289, -2137463.8119731266 2253603.832999289))",2,1,1,1,0.09,0.07999998331,0.07061481476,1.57490617,1.288259566,1.25912267,450000000,0.07911566199,1,20230322-11-42
2761,"POLYGON ((-2137463.8119731266 2253303.832999289, -2137463.8119731266 2253003.832999289, -2137163.8119731266 2253003.832999289, -2137163.8119731266 2253303.832999289, -2137463.8119731266 2253303.832999289))",2,1,1,1,0.09,0.8800000027,0.5026624799,1.43513599,1.224704772,0.9679128528,450000000,0.08117047341,1,20230322-11-42
2809,"POLYGON ((-2137163.8119731266 2256903.832999289, -2137163.8119731266 2256603.832999289, -2136863.8119731266 2256603.832999289, -2136863.8119731266 2256903.832999289, -2137163.8119731266 2256903.832999289))",2,1,1,1,0.09,0.5800000131,0.5995861292,1.55492866,1.062740922,0.5263522863,450000000,0.06255882896,1,20230322-11-42
2810,"POLYGON ((-2137163.8119731266 2256603.832999289, -2137163.8119731266 2256303.832999289, -2136863.8119731266 2256303.832999289, -2136863.8119731266 2256603.832999289, -2137163.8119731266 2256603.832999289))",2,1,1,1,0.09,0.5399999917,0.6298418641,1.571978867,1.202164084,1.265262693,450000000,0.09007208495,1,20230322-11-42
2811,"POLYGON ((-2137163.8119731266 2256303.832999289, -2137163.8119731266 2256003.832999289, -2136863.8119731266 2256003.832999289, -2136863.8119731266 2256303.832999289, -2137163.8119731266 2256303.832999289))",2,1,1,1,0.09,1.219999999,0.5249072611,1.380598158,1.162677795,0.7033120096,450000000,0.07489712715,1,20230322-11-42
2812,"POLYGON ((-2137163.8119731266 2256003.832999289, -2137163.8119731266 2255703.832999289, -2136863.8119731266 2255703.832999289, -2136863.8119731266 2256003.832999289, -2137163.8119731266 2256003.832999289))",2,1,1,1,0.09,0,0.4235954881,1.78269124,1.137279719,1.225046054,450000000,0.08128633695,1,20230322-11-42
2813,"POLYGON ((-2137163.8119731266 2255703.832999289, -2137163.8119731266 2255403.832999289, -2136863.8119731266 2255403.832999289, -2136863.8119731266 2255703.832999289, -2137163.8119731266 2255703.832999289))",2,1,1,1,0.09,0,0.5370173454,1.799133718,1.187058374,1.833849907,450000000,0.1045392549,1,20230322-11-42
2814,"POLYGON ((-2137163.8119731266 2255403.832999289, -2137163.8119731266 2255103.832999289, -2136863.8119731266 2255103.832999289, -2136863.8119731266 2255403.832999289, -2137163.8119731266 2255403.832999289))",2,1,1,1,0.09,0.1600000262,0.5969158411,1.681250095,1.259522945,1.841446221,450000000,0.1070815905,1,20230322-11-42
2815,"POLYGON ((-2137163.8119731266 2255103.832999289, -2137163.8119731266 2254803.832999289, -2136863.8119731266 2254803.832999289, -2136863.8119731266 2255103.832999289, -2137163.8119731266 2255103.832999289))",2,1,1,1,0.09,0.01999998093,0.3700643778,1.696597099,1.284087867,1.473660201,450000000,0.09053306664,1,20230322-11-42
2816,"POLYGON ((-2137163.8119731266 2254803.832999289, -2137163.8119731266 2254503.832999289, -2136863.8119731266 2254503.832999289, -2136863.8119731266 2254803.832999289, -2137163.8119731266 2254803.832999289))",2,1,1,1,0.09,0.6599999964,0.1935193539,1.519498169,1.150078788,0.7585821897,450000000,0.06766390365,1,20230322-11-42
2818,"POLYGON ((-2137163.8119731266 2254203.832999289, -2137163.8119731266 2253903.832999289, -2136863.8119731266 2253903.832999289, -2136863.8119731266 2254203.832999289, -2137163.8119731266 2254203.832999289))",2,1,1,1,0.09,0.1000000238,0.4952839613,1.68364048,1.240484983,1.150771096,450000000,0.08101264672,1,20230322-11-42
2819,"POLYGON ((-2137163.8119731266 2253903.832999289, -2137163.8119731266 2253603.832999289, -2136863.8119731266 2253603.832999289, -2136863.8119731266 2253903.832999289, -2137163.8119731266 2253903.832999289))",2,1,1,1,0.09,0.9600000009,0.5513682961,1.463697404,1.255566657,1.110886797,450000000,0.08835118585,1,20230322-11-42
2820,"POLYGON ((-2137163.8119731266 2253603.832999289, -2137163.8119731266 2253303.832999289, -2136863.8119731266 2253303.832999289, -2136863.8119731266 2253603.832999289, -2137163.8119731266 2253603.832999289))",2,1,1,1,0.09,0,0.5295178294,1.63702327,1.360091031,1.703826487,450000000,0.1004698695,1,20230322-11-42
2821,"POLYGON ((-2137163.8119731266 2253303.832999289, -2137163.8119731266 2253003.832999289, -2136863.8119731266 2253003.832999289, -2136863.8119731266 2253303.832999289, -2137163.8119731266 2253303.832999289))",2,1,1,1,0.09,0.3199999928,0.2487409115,1.541644156,1.325143993,1.399417967,450000000,0.0890122432,1,20230322-11-42
2822,"POLYGON ((-2137163.8119731266 2253003.832999289, -2137163.8119731266 2252703.832999289, -2136863.8119731266 2252703.832999289, -2136863.8119731266 2253003.832999289, -2137163.8119731266 2253003.832999289))",2,1,1,1,0.09,0.04000002146,0.406086266,1.560528576,1.239319175,1.160654053,450000000,0.0782855284,1,20230322-11-42
2867,"POLYGON ((-2136263.8119731266 2257503.832999289, -2136263.8119731266 2257203.832999289, -2135963.8119731266 2257203.832999289, -2135963.8119731266 2257503.832999289, -2136263.8119731266 2257503.832999289))",2,1,1,1,0.09,1.379999995,0.9744875785,1.467409939,1.007021576,0.1906654835,450000000,0.06307455883,1,20230322-11-42
2868,"POLYGON ((-2136263.8119731266 2257203.832999289, -2136263.8119731266 2256903.832999289, -2135963.8119731266 2256903.832999289, -2135963.8119731266 2257203.832999289, -2136263.8119731266 2257203.832999289))",2,1,1,1,0.09,0.1999999881,0.5369392633,1.592628062,1.114806928,1.046164952,450000000,0.07643676739,1,20230322-11-42
2869,"POLYGON ((-2136263.8119731266 2256903.832999289, -2136263.8119731266 2256603.832999289, -2135963.8119731266 2256603.832999289, -2135963.8119731266 2256903.832999289, -2136263.8119731266 2256903.832999289))",2,1,1,1,0.09,0,0.6399531066,1.483858585,1.297641516,1.531695187,450000000,0.09331367665,1,20230322-11-42
2870,"POLYGON ((-2136263.8119731266 2256603.832999289, -2136263.8119731266 2256303.832999289, -2135963.8119731266 2256303.832999289, -2135963.8119731266 2256603.832999289, -2136263.8119731266 2256603.832999289))",2,1,1,1,0.09,0,0.5938239098,1.544545114,1.272048235,1.321377873,450000000,0.08580053133,1,20230322-11-42
2871,"POLYGON ((-2136263.8119731266 2256303.832999289, -2136263.8119731266 2256003.832999289, -2135963.8119731266 2256003.832999289, -2135963.8119731266 2256303.832999289, -2136263.8119731266 2256303.832999289))",2,1,1,1,0.09,0.01999998093,0.6833808124,1.696870625,1.233928412,1.273875743,450000000,0.08654958233,1,20230322-11-42
2872,"POLYGON ((-2136263.8119731266 2256003.832999289, -2136263.8119731266 2255703.832999289, -2135963.8119731266 2255703.832999289, -2135963.8119731266 2256003.832999289, -2136263.8119731266 2256003.832999289))",2,1,1,1,0.09,0,0.4976458549,1.753566086,1.242473185,1.910036504,450000000,0.1069671828,1,20230322-11-42
